rank,lipid_name
1,SM(d20:0_24:3)
2,SM(d39:1)
3,PE(14:0e)
4,DG(10:0_11:1)
5,SM(d18:1_20:1)
6,TG(42:3e)
7,Cer(d18:1_22:0)
8,PC(18:0)
9,Hex1Cer(d16:1_22:6)
10,SM(d18:0_24:0)
11,LPE(18:1)
