rank,lipid_name
1,Cer(t18:1_24:0)
2,Hex2Cer(d34:2)
3,TG(16:0_20:4_22:6)
4,SM(d18:1_20:1)
5,SM(d18:3_24:3)
6,SM(d16:0_24:0)
7,ChE(22:4)
