rank,lipid_name
1,LPC(18:2e)
2,PC(18:2e_20:4)
3,TG(19:1_16:0_18:3)
4,SM(d18:1_20:1)
5,TG(17:0_18:1_18:3)
6,PC(42:6e)
7,SM(d20:0_14:0)
8,PG(28:0_18:1)
9,TG(18:0_16:0_18:2)
10,PI(16:0_18:1)
