rank,lipid_name
1,SM(d16:3_24:)
2,PI(18:0_22:5)
3,PE(14:0e)
4,DG(38:5e)
5,SM(d40:0)
6,DG(10:0_11:1)
7,Hex2Cer(d34:2)
8,SM(t20:0_18:0)
