rank,lipid_name
1,SM(d20:0_24:2)
2,Cer(t16:0_19:1)
3,SM(d40:0)
4,DG(10:0_11:1)
5,PE(18:2e_16:1)
6,Cer(t16:1_19:1)
7,Hex2Cer(d34:2)
8,SM(d18:0_18:0)
9,SM(d16:0_20:0)
10,PE(18:2e_22:5)
11,DG(29:3)
12,PI(16:0_16:1)
13,TG(20:4e_6:0_18:0)
14,LPE(18:1)
