variable,response_mean,noresponse_mean,response_median,noresponse_median,response_n,noresponse_n,standardized_mean_difference
age_enroll,10.583312883435582,10.52737288135593,10.53,10.485,163,118,0.0687203703299915
bmi_z_enroll,2.495613448932515,2.408554040991526,2.545104732,2.34582571,163,118,0.1523059535156587
SFT,1.6764814814814817,1.8352991452991454,1.51,1.74,162,117,-0.24093896187628183
Gender,0.3312883435582822,0.3644067796610169,0.0,0.0,163,118,-0.06957663429117913
BMI,25.160613496932516,24.70161016949153,24.62,24.36,163,118,0.14661315940046174
