indicator,group,model,full_auc,m2f_auc,f2m_auc,m2f_drop,f2m_drop,stable
WHR,q3,XGB,0.7499,0.7009,0.7821,0.049,-0.0322,Y
WHR,q3,SVM,0.7262,0.7187,0.7554,0.0075,-0.0292,Y
WHR,q3,KNN,0.7287,0.7251,0.7594,0.0036,-0.0307,Y
PBF,q3,LR,0.7402,0.7836,0.7407,-0.0434,-0.0005,Y
PBF,q3,RF,0.8086,0.8068,0.8044,0.0018,0.0042,Y
PBF,q3,GBM,0.7708,0.7168,0.7835,0.054,-0.0127,Y
PBF,q3,XGB,0.7841,0.8128,0.7929,-0.0287,-0.0088,Y
PBF,q3,SVM,0.7691,0.7845,0.7626,-0.0154,0.0065,Y
PBF,q3,KNN,0.7621,0.7267,0.7593,0.0354,0.0028,Y
PSM,q3,LR,0.6058,0.6025,0.5871,0.0033,0.0187,Y
PSM,q3,RF,0.7816,0.6525,0.7545,0.1291,0.0271,N
PSM,q3,GBM,0.769,0.6525,0.8213,0.1165,-0.0523,N
PSM,q3,XGB,0.7672,0.6159,0.6946,0.1513,0.0726,N
PSM,q3,SVM,0.6868,0.5506,0.664,0.1362,0.0228,N
PSM,q3,KNN,0.6653,0.5554,0.6663,0.1099,-0.001,N
