model_label,experiment,cv_overrides,strict_mean_auc,strict_std_auc,strict_mean_train_auc,strict_n_outer_folds,leave_one_school_out_mean_auc,repeated_random_holdout_mean_auc,leave_one_school_out_mean_gap,repeated_random_holdout_mean_gap,leave_one_school_out_mean_train_auc,repeated_random_holdout_mean_train_auc,leave_one_school_out_n_completed,repeated_random_holdout_n_completed,leave_one_school_out_n_skipped,repeated_random_holdout_n_skipped,outphase_leave_one_school_out_mean_auc,outphase_repeated_random_holdout_mean_auc,outphase_leave_one_school_out_mean_gap,outphase_repeated_random_holdout_mean_gap,outphase_leave_one_school_out_mean_train_auc,outphase_repeated_random_holdout_mean_train_auc,outphase_leave_one_school_out_n_completed,outphase_repeated_random_holdout_n_completed,outphase_leave_one_school_out_n_skipped,outphase_repeated_random_holdout_n_skipped
clinical_baseline_main,clinical_slim_logistic,{},0.5297080862977602,0.0639841161029897,0.6064085840217414,5,0.5155303476206426,0.5545454545454546,0.0904237490388965,0.0527895154490899,0.6059540966595394,0.6073349699945446,7,30,0,0,0.4220912406391996,0.3601010101010101,0.1838628560203397,0.2472339598935343,0.6059540966595394,0.6073349699945446,7,30,0,0
ultra_sparse_lipid,lipid_elastic_net,"{'lipid_top_k': 5, 'clinical_top_k': 5, 'correlation_threshold': 0.8}",0.5338277475845411,0.0701170813884656,0.7894636327829355,5,0.530958898510806,0.5409090909090909,0.1624926531290045,0.1423533204384267,0.6934515516398105,0.6832624113475176,7,30,0,0,0.4940827551046029,0.5033670033670034,0.199312952252264,0.1798899524431439,0.693395707356867,0.6832569558101473,7,30,0,0
compact_fusion,fusion_elastic_net,"{'lipid_top_k': 15, 'clinical_top_k': 10, 'correlation_threshold': 0.9}",0.5364096124286342,0.0535151479993314,0.805537768472605,5,0.5245928553226027,0.5717592592592593,0.235308408087369,0.1937835667090987,0.7599012634099717,0.765542825968358,7,30,0,0,0.4773786130207121,0.4985690235690235,0.2825127627132589,0.2669738023993343,0.759891375733971,0.765542825968358,7,30,0,0
